LV_grid,LV_osmid,P_installed_kW
2703-23_0_4,1,4.676419149028899
2703-23_0_4,2,4.048551485133383
2703-23_0_4,9,4.13251297455326
2703-23_0_4,10,8.621319812389434
2703-23_0_4,11,3.170603764389408
2703-23_0_4,15,1.6152571792079515
2703-23_0_4,17,8.365590625195352
2703-23_0_4,25,7.428481602260679
2703-23_0_4,26,10.063413811328704
2703-23_0_4,28,4.277197911544889
2703-23_0_4,29,4.574879127179368
2703-23_0_4,31,1.5124040821531168
2703-23_0_4,32,7.012528052455062
2703-23_0_4,34,7.503533039480744
2703-23_0_4,36,9.523055600385108
2703-23_0_4,40,2.491797506399984
2703-23_0_4,42,4.956226062457443
2703-23_0_4,46,3.785951342802965
2703-23_0_4,51,5.641314268581832
2703-23_0_4,52,20.28420221359936
2703-23_0_4,53,1.7717399375575331
2703-23_0_4,59,2.8402131728188587
2703-23_0_4,62,4.995367305319888
2703-23_0_4,63,11.151626768220888
2703-23_0_4,65,6.833564320222848
2703-23_0_4,67,5.142468709283168
2703-23_0_4,70,3.0825034259887283
2703-23_0_4,72,2.880241393021729
2703-23_0_4,82,9.265336891094355
2703-23_0_4,84,2.2416044135414155
2703-23_0_4,90,4.776055733825721
2703-23_0_4,91,5.913976012523714
2703-23_0_4,98,2.852388945890361
2703-23_0_4,100,1.897877238988212
2703-23_0_4,101,12.943098014542946
2703-23_0_4,104,4.519255088910393
2703-23_0_4,109,14.002852461954795
2703-23_0_4,110,13.958047212543782
2703-23_0_4,112,6.795033522518071
2703-23_0_4,124,9.78953218823276
2703-23_0_4,125,13.259709419661975
2703-23_0_4,133,2.016602058221137
2703-23_0_4,134,4.511681944859112
2703-23_0_4,135,16.11627687617772
2703-23_0_4,138,5.471423129181204
2703-23_0_4,142,4.065176811537446
2703-23_0_4,143,4.440319440061524
2703-23_0_4,144,1.5285157446655313
2703-23_0_4,146,6.357349029883309
2703-23_0_4,148,11.02435540783891
2703-23_0_4,149,7.795472501328879
2703-23_0_4,151,10.168264369831672
2703-23_0_4,153,6.087165133252476
2703-23_0_4,155,4.789420094346877
2703-23_0_4,156,10.771006791386766
2703-23_0_4,157,14.087236920162455
2703-23_0_4,158,6.073138402649784
2703-23_0_4,161,5.329321008240448
2703-23_0_4,163,2.901480483136333
2703-23_0_4,164,6.462391323300775
2703-23_0_4,165,2.3450482918486606
2703-23_0_4,166,1.7897893065029074
2703-23_0_4,168,4.82133084246454
2703-23_0_4,172,5.044303434093002
2703-23_0_4,174,7.644446628638189
2703-23_0_4,175,7.71568048168383
2703-23_0_4,176,7.225819923504274
2703-23_0_4,181,18.730180576674616
